Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"mentri keuangan terbaik ktanya ' 😂
Ya jelas aja jago pinjem duit ke Bank Dunia trus dpet komisi ...pak rijal bisa aja 👍",UgycKENaH7mgmOx0X2l4AaABAg,3,14
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"DUH, Muldoko ngibul  krn dpt kedudukan di Istana , woooii rakyat Indonesia tambah makmur , tambah cerdas, tp semua hanya hoax , sedih dah 😭",Ugxm6d-DYSiDsAz6M094AaABAg,0,2
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,3:21:50 BUBAR AJA NIH REPUBLIK UDAH MELENCENG DARI SPIRIT KEMERDEKAAN,Ugx2OJdsyiDNORftpdd4AaABAg,0,9
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,الله كبر الله كبر 💪💪💪👍👍,UgwCLis1mccOisLdpKd4AaABAg,0,2
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Mantul! JENDRAL(purn)MULDOKO hebat👍👍👍👍semoga jadi Pemimpin Nasional dimasa depan yang Amanah,amiiin",UgzUt2qVykTM_gry2lB4AaABAg,0,1
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Nggak ada Mentri ekonomi dlm sejarah yg bisa melawan kehebatan  pak rizal ramli,kalau soal ekonomi pak rizal ramli nggk ada yg bisa lawan dah,paling"" mentri yg sekarang kepandaian nya jauh sama pak rizal ramli dah",UgwtJqsq0jGFSeh0DCN4AaABAg,0,2
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Bersatu kita teguh
Bercerai kta runtuh
Semoga Indonesia lbh baik lgi",UgzuN2LU-AsfP9hBk8B4AaABAg,3,5
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"1:50:33 ""Kalo ngga nyogok nggak jalan tuh barang""

Based on reality",UgyNo8vdb4a9C0TfevZ4AaABAg,0,1
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Musuh jujur, kata novelis. Kata seorang teman saya : apa mau cari musuh? ... teman sejati menunjukkan batu sandung",Ugxc5zdcSpMqtKgtq-14AaABAg,0,0
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Pak Moeldoko mlh kebanyakan Membahas Infrastuktur  😜😜🤦🏼‍♀️🤦🏼‍♀️,Ugzr6vK-_12godInnC14AaABAg,0,1
